State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status,Amenities_Count,Floor_Ratio,Good_Investment
Andhra Pradesh,Vijayawada,Locality_303,Independent House,3,2974,260.0,0.09,2004,Furnished,22,29,22,6,4,2,1,0,"Gym, Clubhouse, Pool, Playground",East,Owner,Under_Construction,4,0.7586206896551724,0
Tamil Nadu,Coimbatore,Locality_494,Independent House,1,1720,231.23,0.13,2002,Semi-furnished,12,21,24,5,8,2,0,1,"Garden, Playground, Pool, Clubhouse, Gym",West,Builder,Ready_to_Move,5,0.5714285714285714,0
Odisha,Bhubaneswar,Locality_255,Villa,5,1418,382.46,0.27,1992,Unfurnished,7,23,34,10,6,2,1,0,"Playground, Pool, Gym, Garden",South,Builder,Under_Construction,4,0.30434782608695654,0
Uttarakhand,Haridwar,Locality_231,Independent House,1,2252,246.81,0.11,2011,Semi-furnished,10,26,15,7,6,1,1,0,"Playground, Pool, Garden",West,Broker,Under_Construction,3,0.38461538461538464,0
Andhra Pradesh,Vishakhapatnam,Locality_229,Villa,3,2019,213.27,0.11,1995,Unfurnished,7,20,31,7,9,1,1,0,"Clubhouse, Gym",West,Builder,Ready_to_Move,2,0.35,0
Kerala,Trivandrum,Locality_158,Independent House,1,2036,121.28,0.06,1996,Semi-furnished,12,26,30,5,6,3,0,1,Garden,South,Builder,Under_Construction,1,0.46153846153846156,0
Telangana,Hyderabad,Locality_31,Apartment,1,1282,312.78,0.24,2011,Unfurnished,12,22,15,6,9,2,1,0,"Pool, Gym, Garden, Clubhouse",West,Owner,Ready_to_Move,4,0.5454545454545454,0
West Bengal,Durgapur,Locality_402,Independent House,5,1586,325.43,0.21,2005,Semi-furnished,5,14,21,4,1,1,0,1,Clubhouse,South,Broker,Ready_to_Move,1,0.35714285714285715,0
Punjab,Amritsar,Locality_431,Independent House,4,3347,323.36,0.1,1995,Semi-furnished,20,27,31,3,4,2,0,0,"Pool, Playground, Gym, Garden, Clubhouse",West,Builder,Ready_to_Move,5,0.7407407407407407,0
Gujarat,Surat,Locality_192,Apartment,2,2619,101.07,0.04,2004,Furnished,17,19,22,2,2,1,0,1,"Gym, Playground, Garden, Clubhouse",East,Owner,Under_Construction,4,0.8947368421052632,0
Uttar Pradesh,Lucknow,Locality_65,Villa,4,889,10.26,0.01,2021,Semi-furnished,13,17,5,10,9,2,1,1,"Gym, Pool, Clubhouse",West,Owner,Under_Construction,3,0.7647058823529411,1
Maharashtra,Pune,Locality_128,Independent House,5,4287,299.35,0.07,2012,Unfurnished,7,23,14,10,3,3,1,1,"Garden, Playground, Clubhouse",West,Owner,Under_Construction,3,0.30434782608695654,1
Assam,Silchar,Locality_347,Independent House,5,3208,200.75,0.06,2000,Semi-furnished,1,26,26,7,6,3,0,1,"Garden, Clubhouse, Pool, Gym",North,Builder,Ready_to_Move,4,0.038461538461538464,1
Delhi,New Delhi,Locality_375,Villa,4,2588,80.11,0.03,2004,Furnished,8,28,22,9,8,1,0,0,"Gym, Playground, Clubhouse, Pool",East,Broker,Under_Construction,4,0.2857142857142857,0
Gujarat,Ahmedabad,Locality_138,Apartment,4,2563,266.56,0.1,2010,Unfurnished,1,2,16,10,1,3,1,1,"Clubhouse, Gym, Pool, Garden, Playground",West,Broker,Ready_to_Move,5,0.5,0
Delhi,New Delhi,Locality_340,Independent House,5,3683,324.98,0.09,2016,Unfurnished,22,25,10,6,10,1,0,0,"Gym, Clubhouse, Playground, Pool, Garden",South,Broker,Ready_to_Move,5,0.88,0
Uttar Pradesh,Noida,Locality_256,Apartment,3,1339,68.58,0.05,1992,Unfurnished,21,22,34,1,2,2,0,1,"Clubhouse, Playground, Gym, Garden, Pool",West,Builder,Ready_to_Move,5,0.9545454545454546,1
Maharashtra,Nagpur,Locality_283,Apartment,3,3067,423.99,0.14,1990,Unfurnished,5,17,36,8,5,2,1,1,"Gym, Clubhouse, Playground, Pool",West,Broker,Under_Construction,4,0.29411764705882354,0
Kerala,Trivandrum,Locality_186,Independent House,3,4007,11.87,0.0,1994,Semi-furnished,4,5,32,3,8,1,0,1,"Playground, Garden, Pool, Gym, Clubhouse",South,Builder,Ready_to_Move,5,0.8,0
Tamil Nadu,Coimbatore,Locality_292,Villa,3,4815,180.92,0.04,2021,Semi-furnished,24,28,5,3,7,1,1,0,"Pool, Garden, Gym, Playground",West,Owner,Under_Construction,4,0.8571428571428571,0
Maharashtra,Pune,Locality_470,Independent House,1,2077,492.52,0.24,2002,Semi-furnished,5,30,24,9,10,1,0,0,"Clubhouse, Pool, Playground, Garden, Gym",East,Builder,Ready_to_Move,5,0.16666666666666666,0
Tamil Nadu,Coimbatore,Locality_61,Apartment,5,2838,151.6,0.05,2023,Semi-furnished,24,27,3,8,9,3,1,1,Clubhouse,East,Broker,Under_Construction,1,0.8888888888888888,0
Jharkhand,Ranchi,Locality_384,Independent House,4,4128,186.84,0.05,1999,Furnished,10,24,27,5,2,1,1,0,Gym,West,Builder,Ready_to_Move,1,0.4166666666666667,0
Andhra Pradesh,Vijayawada,Locality_322,Villa,5,4660,77.35,0.02,2000,Semi-furnished,27,29,26,2,4,1,0,1,"Playground, Clubhouse, Pool, Gym, Garden",South,Broker,Ready_to_Move,5,0.9310344827586207,0
Haryana,Faridabad,Locality_499,Independent House,4,4668,39.93,0.01,2006,Furnished,22,29,20,4,6,2,1,1,"Playground, Pool, Gym, Clubhouse, Garden",North,Builder,Ready_to_Move,5,0.7586206896551724,1
Karnataka,Bangalore,Locality_229,Independent House,2,4052,399.74,0.1,2022,Furnished,4,17,4,10,6,3,1,0,"Gym, Pool, Clubhouse, Garden",East,Builder,Under_Construction,4,0.23529411764705882,0
Chhattisgarh,Bilaspur,Locality_306,Villa,2,4156,318.22,0.08,2022,Unfurnished,19,25,4,6,8,1,1,1,"Pool, Gym",West,Broker,Under_Construction,2,0.76,0
West Bengal,Kolkata,Locality_255,Villa,2,2957,56.3,0.02,1994,Semi-furnished,15,22,32,3,3,2,0,1,"Pool, Gym, Playground",South,Builder,Under_Construction,3,0.6818181818181818,1
Assam,Guwahati,Locality_337,Independent House,2,4087,483.17,0.12,2008,Unfurnished,6,17,18,6,3,1,1,0,"Pool, Gym, Clubhouse",West,Broker,Under_Construction,3,0.35294117647058826,0
Madhya Pradesh,Indore,Locality_368,Villa,2,2605,476.47,0.18,2023,Semi-furnished,12,21,3,9,7,2,0,1,"Garden, Gym, Pool, Clubhouse",South,Builder,Under_Construction,4,0.5714285714285714,0
Maharashtra,Nagpur,Locality_350,Villa,2,2718,10.76,0.0,2007,Unfurnished,3,3,19,8,2,1,0,0,"Playground, Clubhouse",North,Broker,Under_Construction,2,1.0,0
Karnataka,Mysore,Locality_162,Apartment,4,1500,200.43,0.13,2008,Semi-furnished,15,19,18,3,10,1,0,0,"Garden, Pool",West,Owner,Under_Construction,2,0.7894736842105263,0
Assam,Guwahati,Locality_64,Independent House,1,4597,457.1,0.1,1996,Semi-furnished,3,22,30,2,4,2,0,1,"Clubhouse, Pool, Garden, Gym, Playground",South,Owner,Under_Construction,5,0.13636363636363635,0
Assam,Guwahati,Locality_228,Independent House,3,1595,232.68,0.15,2006,Unfurnished,0,12,20,7,9,3,1,1,"Garden, Clubhouse, Playground, Pool, Gym",East,Broker,Under_Construction,5,0.0,0
Bihar,Gaya,Locality_266,Apartment,2,2801,379.83,0.14,2003,Semi-furnished,27,27,23,6,4,3,0,0,"Gym, Pool, Playground",East,Broker,Ready_to_Move,3,1.0,0
Maharashtra,Nagpur,Locality_64,Independent House,3,4970,476.22,0.1,1994,Furnished,2,5,32,6,2,2,0,1,"Gym, Garden, Pool, Clubhouse, Playground",South,Builder,Under_Construction,5,0.4,0
Telangana,Hyderabad,Locality_334,Apartment,5,2098,237.15,0.11,1996,Unfurnished,4,30,30,5,3,2,0,0,Clubhouse,South,Broker,Ready_to_Move,1,0.13333333333333333,0
Telangana,Warangal,Locality_37,Apartment,4,2098,399.9,0.19,2003,Semi-furnished,1,28,23,8,1,1,1,1,"Garden, Playground, Clubhouse, Pool",East,Broker,Ready_to_Move,4,0.03571428571428571,0
Madhya Pradesh,Bhopal,Locality_278,Villa,1,4392,153.22,0.03,2004,Unfurnished,14,28,22,2,3,3,0,1,"Pool, Clubhouse, Gym, Garden, Playground",West,Broker,Under_Construction,5,0.5,1
Assam,Silchar,Locality_35,Villa,3,4160,131.27,0.03,2007,Unfurnished,1,2,19,2,5,1,1,0,Playground,North,Builder,Ready_to_Move,1,0.5,0
Kerala,Trivandrum,Locality_37,Independent House,1,2320,37.97,0.02,2022,Semi-furnished,1,1,4,2,6,1,0,1,"Gym, Clubhouse",South,Owner,Ready_to_Move,2,1.0,0
Haryana,Faridabad,Locality_486,Villa,1,3649,227.3,0.06,2015,Unfurnished,8,20,11,9,3,3,0,0,Clubhouse,North,Builder,Ready_to_Move,1,0.4,0
Chhattisgarh,Bilaspur,Locality_396,Villa,3,743,43.79,0.06,2010,Unfurnished,3,10,16,9,10,1,0,1,"Pool, Gym, Clubhouse",South,Builder,Ready_to_Move,3,0.3,0
Punjab,Ludhiana,Locality_328,Apartment,4,756,21.64,0.03,2012,Semi-furnished,23,29,14,9,4,3,0,1,"Pool, Gym, Clubhouse, Garden, Playground",North,Broker,Ready_to_Move,5,0.7931034482758621,1
Maharashtra,Nagpur,Locality_276,Independent House,2,3540,163.76,0.05,2018,Unfurnished,23,24,8,4,7,3,0,1,"Gym, Clubhouse",East,Broker,Ready_to_Move,2,0.9583333333333334,0
Haryana,Gurgaon,Locality_365,Independent House,1,2241,372.45,0.17,2007,Unfurnished,4,4,19,6,4,1,0,0,Garden,North,Broker,Ready_to_Move,1,1.0,0
Uttar Pradesh,Noida,Locality_460,Apartment,5,4956,413.52,0.08,1995,Semi-furnished,10,18,31,8,6,1,1,1,"Clubhouse, Garden, Pool",South,Owner,Ready_to_Move,3,0.5555555555555556,0
Gujarat,Surat,Locality_140,Independent House,4,925,296.87,0.32,2005,Unfurnished,3,25,21,7,6,3,0,1,"Gym, Playground, Clubhouse, Garden",West,Owner,Under_Construction,4,0.12,0
Karnataka,Mangalore,Locality_356,Villa,5,2974,24.86,0.01,1995,Unfurnished,21,22,31,10,7,1,0,1,"Clubhouse, Gym",North,Broker,Under_Construction,2,0.9545454545454546,0
Kerala,Kochi,Locality_472,Villa,1,4859,127.61,0.03,1994,Unfurnished,2,22,32,5,1,3,1,0,"Pool, Garden, Gym",North,Broker,Under_Construction,3,0.09090909090909091,1
West Bengal,Kolkata,Locality_459,Villa,4,2073,54.12,0.03,2014,Semi-furnished,3,25,12,4,2,3,0,1,"Clubhouse, Garden, Playground",East,Builder,Ready_to_Move,3,0.12,1
Maharashtra,Nagpur,Locality_56,Apartment,3,3647,185.12,0.05,2022,Semi-furnished,1,28,4,1,10,2,0,0,"Clubhouse, Gym, Pool, Playground",South,Owner,Ready_to_Move,4,0.03571428571428571,1
Uttarakhand,Haridwar,Locality_454,Villa,2,1622,285.05,0.18,2015,Semi-furnished,7,13,11,3,9,2,0,0,Clubhouse,East,Builder,Under_Construction,1,0.5384615384615384,0
Jharkhand,Jamshedpur,Locality_273,Apartment,1,4622,157.14,0.03,2005,Unfurnished,21,28,21,10,7,2,1,1,"Playground, Pool",South,Builder,Under_Construction,2,0.75,0
Maharashtra,Pune,Locality_71,Villa,1,3061,472.85,0.15,2018,Semi-furnished,11,25,8,10,10,2,0,1,"Garden, Gym, Pool, Clubhouse",South,Owner,Under_Construction,4,0.44,0
Uttar Pradesh,Noida,Locality_251,Villa,3,4943,268.99,0.05,1996,Semi-furnished,26,30,30,5,2,1,1,1,Clubhouse,West,Broker,Ready_to_Move,1,0.8666666666666667,0
Delhi,New Delhi,Locality_170,Independent House,4,1225,383.6,0.31,1993,Furnished,13,24,33,6,2,1,0,1,"Gym, Garden, Clubhouse, Pool, Playground",North,Owner,Under_Construction,5,0.5416666666666666,0
Odisha,Bhubaneswar,Locality_74,Villa,4,1436,49.74,0.03,1990,Furnished,18,20,36,8,8,3,1,1,Clubhouse,East,Broker,Ready_to_Move,1,0.9,0
Haryana,Faridabad,Locality_409,Villa,3,3343,39.86,0.01,2018,Semi-furnished,10,21,8,4,2,2,1,0,"Gym, Pool",South,Builder,Under_Construction,2,0.47619047619047616,0
Odisha,Cuttack,Locality_299,Independent House,3,4719,365.7,0.08,2023,Unfurnished,11,11,3,2,6,1,0,0,"Gym, Pool, Playground",West,Broker,Under_Construction,3,1.0,0
Odisha,Cuttack,Locality_12,Villa,3,4996,494.93,0.1,1992,Semi-furnished,7,11,34,9,6,3,0,0,"Gym, Clubhouse, Garden",West,Broker,Ready_to_Move,3,0.6363636363636364,0
Punjab,Ludhiana,Locality_342,Apartment,2,2067,362.78,0.18,2013,Furnished,0,28,13,1,2,3,0,1,Garden,West,Broker,Under_Construction,1,0.0,0
Jharkhand,Jamshedpur,Locality_364,Apartment,1,4321,348.06,0.08,2015,Furnished,1,17,11,10,10,1,0,1,"Pool, Garden, Gym, Playground",East,Builder,Ready_to_Move,4,0.058823529411764705,0
Rajasthan,Jaipur,Locality_360,Independent House,2,1779,237.31,0.13,2019,Semi-furnished,8,13,7,2,9,3,0,1,"Garden, Gym, Playground, Pool",East,Broker,Ready_to_Move,4,0.6153846153846154,0
Uttar Pradesh,Noida,Locality_344,Independent House,4,1914,489.95,0.26,2021,Furnished,23,26,5,1,3,3,0,0,Gym,East,Broker,Ready_to_Move,1,0.8846153846153846,0
Chhattisgarh,Raipur,Locality_497,Independent House,3,3044,361.74,0.12,2004,Semi-furnished,12,25,22,2,9,1,0,1,"Clubhouse, Pool, Gym, Playground",East,Owner,Under_Construction,4,0.48,0
Tamil Nadu,Chennai,Locality_118,Villa,5,4894,157.37,0.03,2004,Semi-furnished,3,9,22,6,7,1,1,0,Gym,East,Broker,Ready_to_Move,1,0.3333333333333333,0
Kerala,Trivandrum,Locality_151,Independent House,1,3393,25.93,0.01,2022,Furnished,19,27,4,5,7,2,1,0,Pool,West,Builder,Under_Construction,1,0.7037037037037037,0
West Bengal,Kolkata,Locality_225,Villa,3,4424,231.32,0.05,2016,Semi-furnished,13,20,10,4,10,2,0,0,"Clubhouse, Playground, Garden, Gym",North,Broker,Under_Construction,4,0.65,1
Karnataka,Mysore,Locality_192,Independent House,4,4795,61.38,0.01,2005,Furnished,12,22,21,3,8,3,0,1,Garden,South,Builder,Under_Construction,1,0.5454545454545454,0
Odisha,Bhubaneswar,Locality_55,Apartment,5,915,63.93,0.07,2007,Semi-furnished,12,20,19,10,5,1,1,1,Playground,East,Broker,Ready_to_Move,1,0.6,0
Uttar Pradesh,Lucknow,Locality_43,Villa,3,1270,361.76,0.28,1991,Semi-furnished,16,23,35,7,8,1,0,1,Garden,West,Broker,Ready_to_Move,1,0.6956521739130435,0
Tamil Nadu,Chennai,Locality_124,Apartment,1,2897,67.88,0.02,2016,Furnished,5,6,10,1,6,2,1,0,"Playground, Clubhouse",South,Broker,Under_Construction,2,0.8333333333333334,0
Bihar,Patna,Locality_156,Apartment,4,2188,479.85,0.22,1996,Furnished,2,11,30,3,4,3,0,0,"Gym, Garden, Clubhouse, Pool",North,Owner,Under_Construction,4,0.18181818181818182,0
Delhi,New Delhi,Locality_173,Independent House,2,4419,448.88,0.1,2020,Furnished,19,20,6,10,10,1,0,1,"Clubhouse, Gym, Pool",South,Owner,Ready_to_Move,3,0.95,0
Punjab,Amritsar,Locality_346,Apartment,2,2920,155.89,0.05,2001,Furnished,5,17,25,1,4,2,0,0,"Garden, Gym",South,Broker,Ready_to_Move,2,0.29411764705882354,0
Madhya Pradesh,Bhopal,Locality_457,Villa,1,2339,244.89,0.1,2011,Unfurnished,20,26,15,1,1,3,0,0,"Garden, Playground, Gym",West,Builder,Ready_to_Move,3,0.7692307692307693,0
Tamil Nadu,Chennai,Locality_76,Apartment,2,3059,171.11,0.06,2020,Unfurnished,6,10,6,8,6,3,0,0,"Garden, Pool, Clubhouse, Playground",South,Broker,Under_Construction,4,0.6,1
Jharkhand,Ranchi,Locality_246,Villa,4,730,83.68,0.11,1999,Furnished,5,14,27,3,7,2,0,1,"Garden, Gym, Clubhouse",North,Owner,Under_Construction,3,0.35714285714285715,0
Tamil Nadu,Coimbatore,Locality_177,Villa,2,1466,108.04,0.07,1995,Furnished,3,18,31,1,1,1,0,1,"Pool, Garden, Playground",North,Owner,Ready_to_Move,3,0.16666666666666666,0
Bihar,Patna,Locality_133,Apartment,5,4556,370.38,0.08,1996,Semi-furnished,21,23,30,3,3,3,1,0,"Clubhouse, Gym, Garden, Playground, Pool",West,Broker,Under_Construction,5,0.9130434782608695,1
Andhra Pradesh,Vishakhapatnam,Locality_418,Villa,5,3777,109.42,0.03,1999,Semi-furnished,5,11,27,9,7,2,1,1,Clubhouse,North,Broker,Under_Construction,1,0.45454545454545453,0
Delhi,New Delhi,Locality_81,Independent House,2,2962,148.16,0.05,1992,Furnished,5,29,34,8,5,3,0,1,"Clubhouse, Playground, Garden, Pool, Gym",South,Owner,Ready_to_Move,5,0.1724137931034483,1
Delhi,Dwarka,Locality_457,Villa,3,4321,470.66,0.11,2019,Unfurnished,19,27,7,7,1,3,0,0,"Pool, Garden, Playground",East,Broker,Under_Construction,3,0.7037037037037037,0
Kerala,Kochi,Locality_20,Independent House,3,925,157.13,0.17,1998,Furnished,4,6,28,1,10,1,0,1,"Garden, Playground",East,Broker,Under_Construction,2,0.6666666666666666,0
Maharashtra,Mumbai,Locality_21,Apartment,4,1704,435.31,0.26,2005,Unfurnished,12,25,21,1,2,3,0,1,"Clubhouse, Gym, Garden",South,Broker,Ready_to_Move,3,0.48,0
Madhya Pradesh,Indore,Locality_105,Villa,4,3529,12.92,0.0,1992,Furnished,30,30,34,3,5,2,1,1,"Pool, Playground",West,Builder,Ready_to_Move,2,1.0,0
Assam,Guwahati,Locality_440,Villa,5,3074,457.95,0.15,2018,Semi-furnished,8,25,8,1,7,2,1,1,"Clubhouse, Pool, Playground, Gym",East,Owner,Under_Construction,4,0.32,0
Chhattisgarh,Raipur,Locality_10,Villa,3,2879,458.54,0.16,2014,Furnished,25,30,12,5,2,1,1,1,"Pool, Gym, Playground, Clubhouse, Garden",North,Builder,Ready_to_Move,5,0.8333333333333334,0
Madhya Pradesh,Bhopal,Locality_426,Apartment,1,1549,427.13,0.28,1991,Unfurnished,23,23,35,10,1,1,0,0,Garden,West,Builder,Ready_to_Move,1,1.0,0
Tamil Nadu,Chennai,Locality_430,Independent House,5,1355,224.47,0.17,2018,Semi-furnished,18,19,8,8,6,2,0,0,Clubhouse,East,Broker,Under_Construction,1,0.9473684210526315,0
Jharkhand,Jamshedpur,Locality_204,Villa,2,3726,219.53,0.06,1994,Unfurnished,25,25,32,6,2,1,1,0,Gym,North,Broker,Under_Construction,1,1.0,0
Bihar,Patna,Locality_243,Independent House,1,2590,87.53,0.03,2018,Semi-furnished,11,16,8,5,3,2,0,1,"Garden, Playground, Clubhouse",North,Broker,Under_Construction,3,0.6875,1
Gujarat,Surat,Locality_344,Villa,1,4801,322.34,0.07,1994,Semi-furnished,14,18,32,2,6,1,1,1,"Garden, Clubhouse, Playground",South,Broker,Under_Construction,3,0.7777777777777778,0
Gujarat,Surat,Locality_38,Villa,5,4316,318.02,0.07,1999,Semi-furnished,12,26,27,8,6,3,1,0,"Gym, Garden, Clubhouse, Pool, Playground",North,Builder,Under_Construction,5,0.46153846153846156,1
Tamil Nadu,Coimbatore,Locality_331,Villa,5,1047,310.27,0.3,1996,Furnished,17,23,30,7,4,1,1,1,"Clubhouse, Gym, Garden, Pool",West,Broker,Ready_to_Move,4,0.7391304347826086,0
Kerala,Trivandrum,Locality_106,Independent House,4,1637,123.89,0.08,2014,Furnished,3,22,12,4,6,3,1,0,Clubhouse,West,Broker,Under_Construction,1,0.13636363636363635,0
Andhra Pradesh,Vishakhapatnam,Locality_459,Villa,2,1089,328.0,0.3,1994,Furnished,26,28,32,4,9,1,0,0,"Garden, Playground, Pool",West,Owner,Ready_to_Move,3,0.9285714285714286,0
Uttar Pradesh,Noida,Locality_331,Independent House,5,4981,424.54,0.09,1998,Unfurnished,4,19,28,9,6,1,1,1,Playground,South,Owner,Ready_to_Move,1,0.21052631578947367,0
Madhya Pradesh,Indore,Locality_253,Apartment,3,4763,91.36,0.02,1998,Unfurnished,0,19,28,6,9,1,0,0,"Pool, Gym, Clubhouse, Playground, Garden",East,Owner,Under_Construction,5,0.0,0
Gujarat,Ahmedabad,Locality_223,Villa,3,3849,10.05,0.0,2018,Semi-furnished,1,15,8,6,10,3,1,1,"Garden, Clubhouse, Gym",North,Owner,Under_Construction,3,0.06666666666666667,1
Uttarakhand,Dehradun,Locality_320,Apartment,1,2554,150.14,0.06,1991,Furnished,20,26,35,7,3,2,1,1,"Clubhouse, Pool, Playground, Garden",South,Builder,Ready_to_Move,4,0.7692307692307693,1
Telangana,Hyderabad,Locality_83,Independent House,2,4775,412.46,0.09,2003,Semi-furnished,7,14,23,6,5,1,1,1,"Garden, Clubhouse, Pool",East,Builder,Ready_to_Move,3,0.5,0
Odisha,Cuttack,Locality_171,Apartment,3,732,160.92,0.22,2022,Unfurnished,0,5,4,7,10,1,0,0,"Clubhouse, Garden, Pool",South,Broker,Ready_to_Move,3,0.0,0
Madhya Pradesh,Bhopal,Locality_452,Apartment,2,1951,294.1,0.15,2015,Semi-furnished,8,17,11,10,8,2,0,0,"Pool, Clubhouse",East,Owner,Under_Construction,2,0.47058823529411764,0
Delhi,Dwarka,Locality_401,Villa,4,644,102.32,0.16,2006,Unfurnished,5,20,20,9,4,2,1,1,"Pool, Clubhouse, Garden, Gym",North,Broker,Ready_to_Move,4,0.25,0
Madhya Pradesh,Indore,Locality_421,Apartment,1,2185,68.69,0.03,2006,Semi-furnished,15,22,20,10,1,2,1,0,Playground,West,Builder,Ready_to_Move,1,0.6818181818181818,0
Karnataka,Mangalore,Locality_79,Apartment,4,4378,340.35,0.08,2019,Furnished,13,29,7,9,5,1,1,1,"Pool, Playground",South,Builder,Under_Construction,2,0.4482758620689655,0
Haryana,Faridabad,Locality_378,Independent House,1,549,105.09,0.19,2012,Semi-furnished,0,27,14,3,10,2,1,1,"Clubhouse, Playground, Pool, Garden, Gym",West,Broker,Under_Construction,5,0.0,0
Tamil Nadu,Coimbatore,Locality_58,Apartment,3,2323,370.44,0.16,2005,Unfurnished,0,3,21,3,10,1,0,1,Pool,East,Owner,Under_Construction,1,0.0,0
Maharashtra,Nagpur,Locality_160,Apartment,1,722,47.13,0.07,2003,Unfurnished,15,15,23,8,9,1,1,1,"Pool, Playground, Garden, Gym",North,Broker,Under_Construction,4,1.0,0
Telangana,Warangal,Locality_227,Independent House,3,4894,206.42,0.04,2008,Unfurnished,19,22,18,9,8,2,0,1,"Garden, Pool, Gym",South,Owner,Ready_to_Move,3,0.8636363636363636,1
Rajasthan,Jodhpur,Locality_346,Apartment,2,3091,250.26,0.08,2002,Unfurnished,21,29,24,8,3,1,0,1,"Garden, Gym",North,Builder,Ready_to_Move,2,0.7241379310344828,0
Uttar Pradesh,Lucknow,Locality_357,Apartment,5,3645,114.91,0.03,2009,Furnished,22,28,17,3,1,1,1,0,"Pool, Clubhouse, Playground, Garden, Gym",South,Owner,Ready_to_Move,5,0.7857142857142857,0
Delhi,Dwarka,Locality_107,Villa,2,3758,66.6,0.02,1991,Furnished,10,17,35,3,1,2,0,1,"Clubhouse, Gym, Garden",South,Broker,Under_Construction,3,0.5882352941176471,1
Assam,Silchar,Locality_496,Independent House,5,3233,49.14,0.02,2021,Semi-furnished,5,19,5,1,7,3,0,1,"Gym, Playground, Pool",West,Owner,Ready_to_Move,3,0.2631578947368421,1
Chhattisgarh,Bilaspur,Locality_400,Independent House,5,859,190.19,0.22,2001,Furnished,8,16,25,2,4,3,0,0,Gym,North,Broker,Ready_to_Move,1,0.5,0
Karnataka,Mangalore,Locality_177,Independent House,2,1902,362.74,0.19,2008,Unfurnished,22,26,18,7,5,2,1,0,Garden,North,Owner,Under_Construction,1,0.8461538461538461,0
Gujarat,Ahmedabad,Locality_309,Apartment,4,4609,154.81,0.03,2007,Unfurnished,22,24,19,5,3,1,0,0,Playground,South,Owner,Ready_to_Move,1,0.9166666666666666,0
Maharashtra,Pune,Locality_170,Villa,5,1359,112.06,0.08,2013,Unfurnished,3,7,13,4,7,1,0,1,"Playground, Clubhouse",North,Broker,Ready_to_Move,2,0.42857142857142855,0
Haryana,Faridabad,Locality_467,Independent House,2,2210,264.86,0.12,2004,Furnished,26,30,22,6,1,3,1,1,"Clubhouse, Gym, Garden, Playground, Pool",North,Owner,Ready_to_Move,5,0.8666666666666667,0
Bihar,Patna,Locality_407,Independent House,4,1625,485.75,0.3,2022,Furnished,11,22,4,4,5,2,0,1,"Gym, Pool, Garden, Playground",South,Owner,Under_Construction,4,0.5,0
Rajasthan,Jaipur,Locality_170,Villa,5,2848,309.44,0.11,2017,Unfurnished,4,30,9,4,1,2,1,0,"Pool, Clubhouse",East,Broker,Ready_to_Move,2,0.13333333333333333,0
Haryana,Faridabad,Locality_224,Independent House,1,4688,387.05,0.08,2002,Unfurnished,8,14,24,3,1,2,1,0,"Pool, Garden, Clubhouse, Gym",North,Builder,Under_Construction,4,0.5714285714285714,1
Delhi,Dwarka,Locality_214,Villa,4,2850,245.83,0.09,1996,Semi-furnished,10,27,30,5,8,3,0,0,Pool,East,Owner,Under_Construction,1,0.37037037037037035,0
Tamil Nadu,Coimbatore,Locality_111,Independent House,5,1016,236.46,0.23,1992,Unfurnished,5,23,34,3,4,3,1,0,"Pool, Garden, Playground, Clubhouse",North,Owner,Under_Construction,4,0.21739130434782608,0
Punjab,Amritsar,Locality_325,Independent House,3,2013,42.78,0.02,1990,Furnished,0,3,36,4,4,2,0,1,"Clubhouse, Garden",West,Owner,Ready_to_Move,2,0.0,0
Haryana,Faridabad,Locality_423,Independent House,5,3405,97.14,0.03,2010,Furnished,18,29,16,6,4,1,0,0,"Playground, Clubhouse, Gym",East,Owner,Ready_to_Move,3,0.6206896551724138,0
Punjab,Ludhiana,Locality_396,Independent House,2,651,208.41,0.32,1990,Unfurnished,9,24,36,3,4,2,1,1,"Playground, Pool, Garden, Clubhouse, Gym",West,Builder,Under_Construction,5,0.375,0
Karnataka,Bangalore,Locality_171,Independent House,4,4842,274.82,0.06,2016,Furnished,14,26,10,3,5,1,0,1,Garden,West,Owner,Ready_to_Move,1,0.5384615384615384,0
Gujarat,Surat,Locality_427,Villa,5,2937,470.03,0.16,2019,Semi-furnished,2,25,7,3,1,1,0,1,"Garden, Pool",West,Broker,Under_Construction,2,0.08,0
Assam,Silchar,Locality_36,Independent House,1,2530,439.34,0.17,2007,Unfurnished,15,18,19,10,1,1,1,1,"Garden, Gym, Clubhouse",East,Builder,Under_Construction,3,0.8333333333333334,0
Kerala,Trivandrum,Locality_45,Apartment,4,2439,189.29,0.08,1999,Unfurnished,0,13,27,7,4,1,0,1,Pool,South,Owner,Ready_to_Move,1,0.0,0
Punjab,Amritsar,Locality_16,Villa,2,1124,191.6,0.17,1993,Unfurnished,12,28,33,8,1,3,0,1,"Playground, Pool, Clubhouse, Garden, Gym",East,Owner,Under_Construction,5,0.42857142857142855,0
Madhya Pradesh,Bhopal,Locality_307,Villa,4,2798,206.28,0.07,2007,Unfurnished,14,22,19,4,2,2,1,0,Playground,North,Owner,Ready_to_Move,1,0.6363636363636364,0
